Warenausgang,RMA,KÃ¼che,account,bt_mac,rssi,uuid,beacon_type,proximity,beacon_gateway_IPEI,beacon_gateway_name,time_stamp,server_time_stamp,timeout
0,0,1,000413B40F91,000413B40F91,-73,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF28001,a,0,0328D7848F,0328D7848F,2020-12-15 10:47:16.676162,2020-12-15 09:44:16,180
0,0,1,000413B40F91,000413B40F91,-66,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF28001,a,3,0328D783CA,0328D783CA,2020-12-15 10:47:16.676162,2020-12-15 09:46:31,45
0,0,1,000413B40F91,000413B40F91,-65,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF28001,a,3,0328D783CA,0328D783CA,2020-12-15 10:48:40.807307,2020-12-15 09:48:39,1
0,0,1,000413B40F91,000413B40F91,-70,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF28001,a,1,0328D7848F,0328D7848F,2020-12-15 10:51:33.028338,2020-12-15 09:51:32,1
0,0,1,000413B40F91,000413B40F91,-70,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF28001,a,0,0328D7848F,0328D7848F,2020-12-15 10:52:37.124921,2020-12-15 09:52:35,2
1,0,0,catalina.oancea.9121,000413B40034,-65,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF8000,a,2,0328D3C8FC,0328D3C8FC,2020-12-14 17:45:00.179472,2020-12-14 16:44:59,1
1,0,0,catalina.oancea.9121,000413B40034,-63,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF8000,a,2,0328D3C8FC,0328D3C8FC,2020-12-14 17:45:02.182029,2020-12-14 16:45:00,2
1,0,0,catalina.oancea.9121,000413B40034,-56,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF8000,a,2,0328D3C8FC,0328D3C8FC,2020-12-14 17:45:04.188292,2020-12-14 16:45:03,1
1,0,0,catalina.oancea.9121,000413B40034,-55,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF8000,a,2,0328D3C8FC,0328D3C8FC,2020-12-14 17:45:06.194543,2020-12-14 16:45:05,1
1,0,0,catalina.oancea.9121,000413B40034,-49,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF8000,a,2,0328D3C8FC,0328D3C8FC,2020-12-14 17:45:08.200136,2020-12-14 16:45:07,1
0,1,0,000413B40F91,000413B40F91,-73,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF28001,a,0,0328D7848F,0328D7848F,2020-12-15 12:32:36.336598,2020-12-15 11:31:54,42
0,1,0,000413B40F91,000413B40F91,-66,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF28001,a,3,0328D783CA,0328D783CA,2020-12-15 12:32:36.336598,2020-12-15 11:32:09,27
0,1,0,000413B40F91,000413B40F91,-69,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF28001,a,1,0328D7848F,0328D7848F,2020-12-15 12:33:48.467089,2020-12-15 11:33:48,0
